Subt.;Ítem;Asig.; ;
22;5;7;Acceso a Internet;
22;5;8;Enlaces de Telecomunicaciones;
22;5;999;Otros;
22;6; ;Mantenimiento y Reparaciones;
22;6;1;Mantenimiento y Reparación de Edificaciones;
22;6;2;Mantenimiento y Reparación de Vehículos;
22;6;3;Mantenimiento y Reparación de Mobiliarios y Otros;
22;6;4;Mantenimiento y Reparación de Máquinas y Equipos de Oficina;
22;6;5;Mantenimiento y Reparación de Maquinaria y Equipos de Producción;
22;6;6;Mantenimiento y Reparación de Otras Maquinarias y Equipos;
22;6;7;Mantenimiento y Reparación de Equipos Informáticos;
22;6;999;Otros;
22;7; ;Publicidad y Difusión;
22;7;1;Servicios de Publicidad;
22;7;2;Servicios de Impresión;
22;7;3;Servicios de Encuademación y Empaste;
22;7;999;Otros;
22;8; ;Servicios Generales;
22;8;1;Servicios de Aseo;
22;8;2;Servicios de Vigilancia;
22;8;3;Servicios de Mantención de Jardines;
22;8;4;Servicios de Mantención de Alumbrado Público;
22;8;5;Servicios de Mantención de Semáforos;
22;8;6;Servicios de Mantención de Señalizaciones de Tránsito;
22;8;7;Pasajes, Fletes y Bodegajes;
22;8;8;Salas Cunas y/o Jardines Infantiles;
22;8;9;Servicios de Pago y Cobranza;
22;8;10;Servicios de Suscripción y Similares;
22;8;11;Servicios de Producción y Desarrollo de Eventos;
22;8;999;Otros;
22;9; ;Arriendos;
22;9;1;Arriendo de Terrenos;
22;9;2;Arriendo de Edificios;
22;9;3;Arriendo de Vehículos;
22;9;4;Arriendo de Mobiliario y Otros;
22;9;5;Arriendo de Máquinas y Equipos;
22;9;6;Arriendo de Equipos Informáticos;
22;9;999;Otros;
22;10; ;Servicios Financieros y de Seguros;
22;10;1;Gastos Financieros por Compra y Venta de Títulos y Valores;
22;10;2;Primas y Gastos de Seguros;
22;10;3;Servicios de Giros y Remesas;
22;10;4;Gastos Bancarios;
22;10;999;Otros;
22;11; ;Servicios Técnicos y Profesionales;
22;11;1;Estudios e Investigaciones;
22;11;2;Cursos de Capacitación;
22;11;3;Servicios Informáticos;
22;11;999;Otros;
22;12; ;Otros Gastos en Bienes y Servicios de Consumo;
22;12;1;Gastos Reservados;
22;12;2;Gastos Menores;
22;12;3;Gastos de Representación, Protocolo y Ceremonial;
22;12;4;Intereses, Multas y Recargos;
22;12;5;Derechos y Tasas;
22;12;6;Contribuciones;
22;12;999;Otros;
29; ; ;ADQUISICIÓN DE ACTIVOS NO FINANCIEROS;
29;1; ;Terrenos;
29;2; ;Edificios;
29;3; ;Vehículos;
29;4; ;Mobiliario y Otros;
29;5; ;Máquinas y Equipos;
29;5;1;Máquinas y Equipos de Oficina;
29;5;2;Maquinarias y Equipos para la Producción;
29;5;999;Otras;
29;6; ;Equipos Informáticos;
29;6;1;Equipos Computacionales y Periféricos;
29;6;2;Equipos de Comunicaciones para Redes Informáticas;
29;7; ;Programas Informáticos;
29;7;1;Programas Computacionales;
29;7;2;Sistemas de Información;
29;99; ;Otros Activos no Financieros;
30; ; ;ADQUISICIÓN DE ACTIVOS FINANCIEROS;
30;1; ;Compra de Títulos y Valores;
30;1;1;Depósitos a Plazo;
30;1;2;Pactos de Retrocompra;
30;1;3;Cuotas de Fondos Mutuos;
30;1;4;Bonos o Pagarés;
30;1;5;Letras Hipotecarias;
30;1;999;Otros;
30;2; ;Compra de Acciones y Participaciones de Capital;
30;3; ;Operaciones de Cambio;
30;99; ;Otros Activos Financieros;
31; ; ;INICIATIVAS DE INVERSIÓN;
31;1; ;Estudios Básicos;
31;1;1;Gastos Administrativos;
31;1;2;Consultorías;
31;2; ;Proyectos;
31;2;1;Gastos Administrativos;
31;2;2;Consultorías;
31;2;3;Terrenos;
31;2;4;Obras Civiles;
31;2;5;Equipamiento;
31;2;6;Equipos;
31;2;7;Vehículos;
31;2;999;Otros Gastos;
31;3; ;Programas de Inversión;
31;3;1;Gastos Administrativos;
31;3;2;Consultorías;
31;3;3;Contratación del Programa;
